artist_name,artist_des
CASETIFYLAB,"This artwork is hand-picked and curated exclusively for Casetify. To help create sustainable jobs for creative communities across the globe, we're committed to giving a portion of our profits back to our artists."
Vicky Webb,"This artwork is hand-picked and curated exclusively for Casetify. To help create sustainable jobs for creative communities across the globe, we're committed to giving a portion of our profits back to our artists."
