artwork_name,item_id,device_id,artwork_type_id,artist_id,is_customed,custom_option,introduction
clouds,1,1,2,1,False,,
Winter Tale Clear,1,1,2,1,False,,
Waves Crashing,1,1,2,1,False,,
Tiny Watercolor Dinos on transparent,1,1,2,1,False,,
Gravity V2,1,1,2,1,False,,
Black Transparent Leopard Print,1,1,2,1,False,,
Red Roses (Transparent),1,1,2,1,False,,
Dark Floral,1,1,2,1,False,,
My Design -1,1,1,2,1,False,,
STICKER FEST,1,1,2,1,False,,
Spring Botanicals 2,1,1,2,1,False,,
Sunflowers,1,1,2,1,False,,
silver stars,1,1,2,1,False,,
BLACK PORTRAITS BY BODIL JANE,1,1,2,1,False,,
Purple Peony Watercolor Floral Bouquet,1,1,2,1,False,,
Solar System2,1,1,2,1,False,,
"Crystal ball on black background / mystical, magical, dreamy pattern",1,1,2,1,False,,
Ill be there for you,1,1,2,1,False,,
Candy Transparent,1,1,2,1,False,,
Floral Collage,1,1,2,1,False,,
Girl Boss,1,1,2,1,False,,
Glitz + Glam,1,1,2,1,False,,
peekaboo cat on rose gold,1,1,2,1,False,,
My Secret Garden,1,1,2,1,False,,
LEOPARDS BY BODIL JANE,1,1,2,1,False,,
Healing black,1,1,2,1,False,,
Cute White UFO Space Alien Drawing Pattern,1,1,2,1,False,,
Gigi Garden Florals,1,1,2,1,False,,
Stop and smell the roses,1,1,2,1,False,,
Monstera iPhone and ipod,1,1,2,1,False,,
LANA LAVENDER MIX,1,1,2,1,False,,
